isocntry,lgbt_rights,age,lgbt_friends,religion,discrim_percep,sastisfaction,discrim_exp,online_activism,antidiscrim_eff,left_right,marital,gender,education,occupation,urban,mobile,fin_hardship,internet,social_class,voice_country,opinion_leader,interview_size,cooperation,min_ethnic,min_skin,min_religion,min_sexual,min_roma,w1,lgbt_power,gdp_pc,free_expr,polarisation,hate_speech,educ_equality
BE,1,45,0,3,1,2,0,0,5,4,2,1,8,3,3,1,3,1,2,3,2,1,2,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,38,0,1,1,3,1,1,5,6,2,1,8,4,3,1,2,1,2,4,3,1,1,0,0,0,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,35,0,1,1,2,0,1,6,6,2,0,8,4,3,1,3,1,2,3,3,1,1,0,0,0,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,39,1,14,1,1,0,1,5,6,2,0,8,6,3,1,2,1,3,3,3,1,1,0,0,1,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,35,1,3,2,3,1,0,5,5,2,0,1,4,3,1,2,1,2,2,3,1,2,0,0,0,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,40,1,3,3,2,0,1,5,6,2,0,5,2,3,1,3,2,1,3,3,1,2,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,37,0,3,2,2,0,1,5,5,2,1,5,4,3,1,3,1,1,2,3,1,2,0,0,0,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,42,0,3,3,2,0,0,5,6,2,1,5,4,3,1,3,1,1,2,3,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,44,0,1,2,2,0,0,5,5,1,1,5,3,3,1,3,1,2,2,3,1,2,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,48,1,3,3,2,0,1,5,5,2,1,5,4,3,1,2,1,1,2,3,1,2,0,1,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,39,0,3,2,3,0,1,5,5,1,0,5,6,3,1,2,1,1,3,3,1,2,1,0,0,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,47,1,3,2,2,0,1,5,5,1,0,5,4,3,1,3,1,1,2,3,1,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,54,0,3,1,2,0,1,5,5,1,1,5,4,3,1,3,1,1,2,2,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,17,1,12,2,2,0,0,3,7,2,1,4,8,3,0,2,1,3,4,3,1,1,0,0,0,0,0,0.7638,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,67,0,1,3,2,0,0,5,6,3,1,2,7,1,1,2,6,3,2,4,1,1,0,0,1,0,0,0.5244,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,89,1,1,3,1,0,0,4,5,4,0,3,7,1,1,3,6,3,2,3,1,1,0,0,0,0,0,0.9358,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,40,1,13,2,3,0,0,3,6,2,1,2,6,3,1,1,1,3,3,4,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,28,1,12,4,3,0,0,2,7,1,1,3,4,1,1,2,1,7,4,2,1,1,0,0,0,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,36,0,7,2,2,0,0,5,10,2,1,3,4,3,1,2,1,3,2,3,1,1,0,0,1,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,56,1,1,2,3,0,0,4,97,2,0,3,1,3,1,2,1,3,3,2,1,2,0,0,0,0,0,0.587,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,32,1,1,2,2,0,0,4,6,2,1,3,3,3,1,2,1,3,2,2,1,2,0,0,0,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,17,0,1,2,1,0,0,4,5,1,1,4,8,3,1,2,6,2,2,2,1,1,0,0,0,0,0,0.7638,2.384,96.77,0.973,-1.717,0.364,2.52
